Kennziffer;Raumeinheit;Aggregat;Anteil Siedlungs- und Verkehrsfläche;Anteil Siedlungs- und Verkehrsfläche;Siedlungsdichte;Siedlungsdichte;Anteil Erholungsfläche;Anteil Erholungsfläche;Erholungsfläche je Einwohner;Erholungsfläche je Einwohner;Anteil Freifläche;Anteil Freifläche;Freifläche je Einwohner;Freifläche je Einwohner;Anteil Landwirtschaftsfläche;Anteil Landwirtschaftsfläche;Anteil naturnähere Fläche;Anteil naturnähere Fläche;Naturnähere Fläche je Einwohner;Naturnähere Fläche je Einwohner;Anteil Waldfläche;Anteil Waldfläche;Waldfläche je Einwohner;Waldfläche je Einwohner;Anteil Wasserfläche;Anteil Wasserfläche;Wasserfläche je Einwohner;Wasserfläche je Einwohner
;;;2016;2017;2016;2017;2016;2017;2016;2017;2016;2017;2016;2017;2016;2017;2016;2017;2016;2017;2016;2017;2016;2017;2016;2017;2016;2017
"05112";"Duisburg, Stadt";"krsfr. Stadt";"61,4";"60,9";"3.496,9";"3.515,2";"8,3";"8,5";"38,6";"39,7";"48,0";"48,7";"223,6";"227,8";"18,9";"17,6";"11,0";"13,6";"51,2";"63,5";"8,9";"10,3";"41,4";"48,1";"8,5";"8,5";"39,5";"39,6"
"05113";"Essen, Stadt";"krsfr. Stadt";"67,6";"67,1";"4.101,9";"4.134,3";"11,9";"11,9";"42,8";"42,9";"45,9";"46,5";"165,7";"167,5";"15,7";"15,6";"4,7";"5,2";"16,8";"18,9";"13,7";"14,1";"49,3";"50,9";"2,7";"2,5";"9,6";"9,2"
"05114";"Krefeld, Stadt";"krsfr. Stadt";"56,0";"55,9";"2.938,7";"2.942,2";"9,3";"9,3";"56,6";"56,7";"54,2";"54,3";"329,3";"330,1";"30,8";"30,8";"4,8";"4,8";"29,2";"29,3";"9,6";"9,7";"58,4";"58,7";"3,0";"3,0";"18,2";"18,1"
"05116";"Mönchengladbach, Stadt";"krsfr. Stadt";"49,5";"49,6";"3.090,1";"3.100,6";"5,9";"5,9";"38,7";"38,4";"57,4";"57,3";"374,8";"372,4";"38,3";"38,2";"2,7";"2,7";"17,3";"17,4";"10,9";"11,0";"71,2";"71,2";"0,4";"0,4";"2,7";"2,6"
"05117";"Mülheim an der Ruhr, Stadt";"krsfr. Stadt";"55,5";"55,6";"3.373,5";"3.377,3";"8,1";"8,0";"43,0";"42,9";"53,7";"53,7";"286,8";"286,0";"22,8";"22,7";"4,2";"4,0";"22,3";"21,3";"19,1";"19,2";"102,3";"102,2";"2,1";"2,1";"11,4";"11,4"
"05119";"Oberhausen, Stadt";"krsfr. Stadt";"74,0";"73,6";"3.706,5";"3.724,8";"11,3";"11,4";"41,2";"41,5";"38,5";"38,9";"140,4";"142,0";"8,8";"8,7";"5,2";"5,3";"18,8";"19,4";"14,0";"14,4";"51,0";"52,5";"1,1";"1,1";"4,1";"4,0"
"05120";"Remscheid, Stadt";"krsfr. Stadt";"43,9";"43,6";"3.380,5";"3.400,5";"5,7";"5,7";"38,5";"38,5";"62,5";"62,8";"420,9";"422,9";"23,0";"22,8";"3,2";"3,5";"21,6";"23,7";"31,3";"31,7";"210,7";"213,8";"1,6";"1,6";"10,8";"10,9"
"05122";"Solingen, Stadt";"krsfr. Stadt";"48,6";"48,5";"3.653,9";"3.659,1";"6,1";"5,9";"34,5";"33,5";"58,5";"58,5";"329,9";"329,6";"23,0";"22,5";"3,8";"4,2";"21,6";"23,7";"26,9";"27,4";"151,3";"154,7";"1,3";"1,2";"7,1";"6,7"
"05124";"Wuppertal, Stadt";"krsfr. Stadt";"49,0";"49,1";"4.270,9";"4.280,2";"7,4";"7,3";"35,2";"34,6";"59,2";"59,1";"282,9";"281,3";"20,1";"20,0";"3,8";"4,0";"18,2";"19,1";"28,2";"28,3";"134,6";"134,6";"1,1";"1,1";"5,4";"5,4"
"05154";"Kleve";"Landkreis";"16,9";"16,9";"1.493,5";"1.489,4";"1,8";"1,9";"71,0";"73,7";"85,0";"85,0";"3.379,1";"3.367,8";"63,7";"63,5";"5,2";"5,4";"207,4";"213,1";"14,6";"14,7";"580,6";"583,8";"3,9";"3,8";"153,6";"150,9"
"05158";"Mettmann";"Landkreis";"39,8";"39,7";"2.991,7";"3.002,7";"6,1";"6,0";"50,9";"50,5";"66,8";"66,8";"560,7";"560,4";"36,6";"36,5";"4,1";"4,2";"34,6";"35,5";"20,2";"20,4";"170,1";"171,1";"2,0";"2,0";"16,9";"16,5"
