Kennziffer;Raumeinheit;Aggregat;Gemeindeverwaltungen;Kreisverwaltungen;Finanzämter;Polizeidienststellen;Polizeidienststellen, zeitweise besetzt;Polizeidienststellen, durchgehend besetzt;Arbeitsmarktverwaltungseinrichtungen;Jobcenter;Geschäftsstellen der Agentur für Arbeit;Agenturen für Arbeit oder Regionaldirektionen;Gerichte;Amtsgerichte;Landgerichte;Oberlandesgerichte
"09779194";"Nördlingen, GKSt";"Oberzentrum";"1";"0";"1";"1";"0";"1";"2";"1";"1";"0";"1";"1";"0";"0"
"09780124";"Immenstadt i.Allgäu, Stadt";"Oberzentrum";"1";"0";"1";"1";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0"
"09780139";"Sonthofen, Stadt";"Oberzentrum";"1";"0";"0";"1";"0";"1";"2";"1";"1";"0";"1";"1";"0";"0"
"10041100";"Saarbrücken, Landeshauptstadt";"Oberzentrum";"1";"1";"2";"7";"4";"3";"10";"8";"0";"2";"5";"3";"1";"1"
"11000000";"Berlin, Stadt";"Oberzentrum";"1";"1";"21";"37";"0";"37";"56";"43";"9";"4";"16";"12";"3";"1"
"12051000";"Brandenburg an der Havel, Stadt";"Oberzentrum";"1";"1";"1";"5";"4";"1";"3";"2";"1";"0";"2";"1";"0";"1"
"12052000";"Cottbus, Stadt";"Oberzentrum";"1";"1";"1";"4";"3";"1";"2";"1";"0";"1";"2";"1";"1";"0"
"12053000";"Frankfurt (Oder), Stadt";"Oberzentrum";"1";"1";"1";"1";"0";"1";"2";"1";"0";"1";"2";"1";"1";"0"
"12054000";"Potsdam, Stadt";"Oberzentrum";"1";"1";"1";"1";"0";"1";"3";"2";"0";"1";"2";"1";"1";"0"
"13003000";"Rostock, Hansestadt";"Oberzentrum";"1";"1";"1";"8";"4";"4";"8";"7";"0";"1";"3";"1";"1";"1"
"13004000";"Schwerin, Landeshauptstadt";"Oberzentrum";"1";"1";"1";"4";"2";"2";"3";"2";"0";"1";"2";"1";"1";"0"
"13071107";"Neubrandenburg, Stadt";"Oberzentrum";"1";"1";"3";"3";"1";"2";"3";"1";"1";"1";"2";"1";"1";"0"
"13073088";"Stralsund, Hansestadt";"Oberzentrum";"1";"1";"1";"3";"1";"2";"2";"1";"0";"1";"2";"1";"1";"0"
"13075039";"Greifswald, Hansestadt";"Oberzentrum";"1";"1";"1";"1";"0";"1";"5";"4";"0";"1";"1";"1";"0";"0"
"14511000";"Chemnitz, Stadt";"Oberzentrum";"1";"1";"2";"3";"0";"3";"7";"5";"0";"2";"2";"1";"1";"0"
"14523320";"Plauen, Stadt";"Oberzentrum";"1";"1";"1";"1";"0";"1";"3";"2";"0";"1";"1";"1";"0";"0"
"14524330";"Zwickau, Stadt";"Oberzentrum";"1";"1";"1";"2";"0";"2";"3";"2";"0";"1";"2";"1";"1";"0"
"14612000";"Dresden, Stadt";"Oberzentrum";"1";"1";"2";"5";"0";"5";"2";"1";"0";"1";"3";"1";"1";"1"
"14625020";"Bautzen, Stadt";"Oberzentrum";"1";"1";"1";"1";"0";"1";"2";"1";"0";"1";"2";"1";"1";"0"
"14625240";"Hoyerswerda, Stadt";"Oberzentrum";"1";"0";"1";"1";"0";"1";"1";"0";"1";"0";"1";"1";"0";"0"
"14626110";"Görlitz, Stadt";"Oberzentrum";"1";"1";"1";"2";"0";"2";"2";"1";"1";"0";"2";"1";"1";"0"
"14713000";"Leipzig, Stadt";"Oberzentrum";"1";"1";"2";"7";"2";"5";"5";"4";"0";"1";"2";"1";"1";"0"
"15001000";"Dessau-Roßlau, Stadt";"Oberzentrum";"1";"1";"1";"2";"0";"2";"2";"1";"0";"1";"2";"1";"1";"0"
"15002000";"Halle (Saale), Stadt";"Oberzentrum";"1";"1";"1";"3";"0";"3";"7";"5";"0";"2";"2";"1";"1";"0"
"15003000";"Magdeburg, Landeshauptstadt";"Oberzentrum";"0";"1";"1";"2";"0";"2";"3";"2";"0";"1";"2";"1";"1";"0"
"16051000";"Erfurt, Stadt";"Oberzentrum";"1";"1";"1";"3";"0";"3";"6";"5";"0";"1";"2";"1";"1";"0"
"16052000";"Gera, Stadt";"Oberzentrum";"1";"1";"1";"2";"0";"2";"3";"2";"0";"1";"2";"1";"1";"0"
"16053000";"Jena, Stadt";"Oberzentrum";"1";"1";"1";"2";"0";"2";"3";"2";"0";"1";"2";"1";"0";"1"
