Kennziffer;Raumeinheit;Aggregat;Krankenhäuser insgesamt;Anzahl Krankenhäuser unter Grundversorgung;Anzahl Krankenhäuser mit Grundversorgung ;Anzahl Krankenhäuser mit Regelversorgung ;Anzahl Krankenhäuser mit Schwerpunktversorgung ;Anzahl Krankenhäuser mit Maximalversorgung ;Krankenhausbetten;Krankenhausbetten je 1000 Einwohner;Krankenhäuser – höchste Versorgungsstufe;Erreichbarkeit Apotheken;Ärzte je  Einwohner;Ärzte je  Einwohner;Ärzte je  Einwohner;Einwohner je Arzt;Einwohner je Arzt;Einwohner je Arzt;Hausärzte;Hausärzte;Hausärzte;Allgemeinärzte;Allgemeinärzte;Allgemeinärzte;Internisten;Internisten;Internisten;Kinderärzte;Kinderärzte;Kinderärzte
;;;2016;2016;2016;2016;2016;2016;2016;2016;2016;2017;2015;2016;2017;2015;2016;2017;2015;2016;2017;2015;2016;2017;2015;2016;2017;2015;2016;2017
"06435014";"Hanau, Brüder-Grimm-Stadt";"Oberzentrum";"8";"2";"2";"2";"1";"1";"1.070";"11,00";"5";"90,0";"16,7";"17,6";"17,2";"597,7";"567,7";"582,6";"6,9";"7,0";"6,9";"4,5";"4,7";"4,6";"1,4";"1,4";"1,2";"2,2";"2,1";"2,0"
"06531005";"Gießen, Universitätsstadt";"Oberzentrum";"8";"1";"3";"2";"1";"1";"1.978";"23,00";"5";"81,0";"27,9";"25,9";"25,6";"357,9";"386,4";"389,9";"5,6";"5,4";"5,3";"4,4";"4,3";"4,0";"3,4";"3,2";"3,2";"10,1";"9,4";"8,4"
"06532023";"Wetzlar, Stadt";"Oberzentrum";"4";"2";"1";"1";"0";"0";"664";"13,00";"3";"79,0";"24,6";"24,0";"23,9";"406,7";"416,2";"419,3";"7,6";"7,1";"7,0";"5,4";"5,0";"4,7";"2,7";"2,5";"2,8";"4,3";"4,1";"4,1"
"06534014";"Marburg, Universitätsstadt";"Oberzentrum";"6";"1";"2";"1";"1";"1";"1.505";"20,00";"5";"79,0";"24,6";"24,0";"23,4";"405,7";"417,2";"428,2";"7,6";"7,6";"7,6";"5,1";"5,4";"5,2";"2,6";"2,5";"2,5";"11,0";"10,7";"10,5"
"06611000";"Kassel, documenta-Stadt";"Oberzentrum";"14";"5";"6";"2";"1";"0";"2.605";"13,00";"4";"93,0";"23,7";"23,1";"22,1";"422,1";"432,7";"453,1";"7,0";"7,0";"6,7";"5,0";"5,0";"4,7";"1,8";"1,6";"1,5";"7,2";"7,0";"6,8"
"06631009";"Fulda, Stadt";"Oberzentrum";"6";"2";"2";"1";"1";"0";"1.361";"20,00";"4";"70,0";"28,5";"27,4";"26,3";"350,3";"364,7";"379,7";"8,2";"8,2";"8,1";"4,9";"5,2";"4,7";"2,7";"2,5";"2,5";"8,5";"8,4";"8,2"
"07111000";"Koblenz, Stadt";"Oberzentrum";"6";"1";"4";"1";"0";"0";"1.887";"17,00";"3";"86,0";"24,6";"24,7";"25,2";"406,4";"404,3";"396,7";"6,7";"6,8";"7,1";"4,7";"4,8";"5,3";"2,9";"2,9";"2,9";"9,0";"8,7";"10,1"
"07211000";"Trier, Stadt";"Oberzentrum";"6";"1";"3";"2";"0";"0";"1.686";"15,00";"3";"87,0";"21,6";"22,9";"22,9";"463,4";"436,9";"436,6";"6,1";"6,0";"5,9";"4,4";"4,4";"4,5";"1,8";"1,9";"1,9";"7,2";"7,7";"7,7"
"07312000";"Kaiserslautern, Stadt";"Oberzentrum";"4";"1";"1";"1";"1";"0";"956";"10,00";"4";"79,0";"20,4";"20,2";"20,8";"490,1";"494,0";"481,6";"6,4";"6,1";"5,8";"4,6";"4,4";"4,1";"2,1";"2,3";"2,4";"9,5";"10,2";"9,9"
"07314000";"Ludwigshafen am Rhein, Stadt";"Oberzentrum";"6";"2";"2";"2";"0";"0";"2.162";"13,00";"3";"99,0";"20,0";"19,4";"18,9";"499,1";"514,3";"529,9";"7,0";"6,8";"6,4";"4,2";"4,0";"3,6";"1,9";"1,8";"1,7";"6,2";"6,4";"6,6"
"07315000";"Mainz, Stadt";"Oberzentrum";"8";"3";"2";"1";"1";"1";"3.239";"15,00";"5";"95,0";"21,0";"20,3";"19,9";"476,8";"493,1";"503,8";"6,5";"6,4";"6,2";"4,9";"4,8";"4,6";"2,0";"2,1";"2,0";"10,1";"9,8";"10,1"
"08111000";"Stuttgart, Landeshauptstadt";"Oberzentrum";"27";"16";"7";"2";"1";"1";"5.490";"9,00";"5";"93,0";"17,5";"17,5";"17,4";"570,7";"569,9";"575,2";"6,0";"6,1";"6,1";"3,5";"3,5";"3,4";"1,1";"1,1";"1,1";"6,2";"6,1";"6,1"
"08121000";"Heilbronn, Stadt";"Oberzentrum";"8";"4";"1";"1";"1";"1";"967";"8,00";"5";"91,0";"19,6";"19,6";"19,3";"510,7";"511,5";"517,0";"6,1";"6,3";"6,3";"3,9";"3,9";"3,9";"2,0";"1,7";"1,6";"6,3";"6,2";"6,1"
"08212000";"Karlsruhe, Stadt";"Oberzentrum";"14";"4";"5";"3";"1";"1";"2.948";"10,00";"5";"93,0";"18,3";"18,4";"18,2";"547,6";"542,9";"548,2";"5,9";"6,0";"6,0";"3,7";"3,7";"3,6";"1,3";"1,4";"1,4";"7,0";"7,0";"7,0"
"08221000";"Heidelberg, Stadt";"Oberzentrum";"17";"9";"5";"2";"1";"0";"3.690";"23,00";"4";"90,0";"27,1";"27,0";"26,4";"369,4";"371,0";"378,8";"6,8";"6,6";"6,5";"5,1";"5,0";"5,0";"2,4";"2,4";"2,4";"9,5";"9,1";"8,9"
"08222000";"Mannheim, Universitätsstadt";"Oberzentrum";"9";"3";"3";"2";"1";"0";"2.696";"9,00";"4";"97,0";"19,3";"19,3";"19,0";"518,3";"517,5";"527,4";"7,0";"6,9";"6,7";"4,1";"3,9";"3,8";"1,5";"1,5";"1,6";"8,3";"8,5";"8,3"
"08231000";"Pforzheim, Stadt";"Oberzentrum";"10";"5";"2";"2";"1";"0";"1.135";"9,00";"4";"93,0";"20,5";"19,8";"19,6";"487,0";"504,1";"511,5";"6,9";"6,8";"6,5";"4,6";"4,5";"4,3";"2,0";"1,8";"1,8";"5,8";"5,6";"5,5"
"08311000";"Freiburg im Breisgau, Stadt";"Oberzentrum";"12";"3";"4";"2";"2";"1";"2.408";"11,00";"5";"97,0";"27,6";"27,5";"27,2";"362,2";"364,1";"368,0";"8,9";"8,7";"8,5";"6,5";"6,3";"6,1";"1,9";"1,9";"2,0";"6,7";"6,9";"6,8"
"08317096";"Offenburg, Stadt";"Oberzentrum";"5";"2";"1";"1";"1";"0";"805";"14,00";"4";"73,0";"21,2";"21,1";"21,8";"471,5";"473,7";"457,8";"6,3";"6,1";"6,3";"4,8";"4,8";"4,9";"2,9";"3,2";"3,2";"3,8";"3,8";"3,8"
"08326074";"Villingen-Schwenningen, Stadt";"Oberzentrum";"7";"3";"1";"1";"1";"1";"818";"10,00";"5";"69,0";"19,3";"19,6";"20,1";"519,5";"509,5";"497,4";"7,3";"7,4";"7,5";"3,3";"3,3";"3,4";"1,7";"1,7";"1,7";"6,9";"7,0";"6,9"
"08335043";"Konstanz, Universitätsstadt";"Oberzentrum";"4";"1";"2";"1";"0";"0";"440";"5,00";"3";"94,0";"18,9";"18,7";"18,5";"527,8";"533,7";"541,3";"6,5";"6,6";"6,3";"3,9";"4,1";"3,7";"1,2";"1,3";"1,3";"7,2";"8,1";"7,9"
"08336050";"Lörrach, Stadt";"Oberzentrum";"3";"2";"1";"0";"0";"0";"567";"12,00";"2";"91,0";"19,1";"19,3";"19,5";"524,5";"517,4";"512,6";"6,5";"6,5";"6,7";"4,9";"4,7";"4,9";"1,8";"2,0";"2,0";"8,6";"8,6";"8,6"
"08336091";"Weil am Rhein, Stadt";"Oberzentrum";"0";"0";"0";"0";"0";"0";"0";"0,00";"0";"95,0";"13,7";"13,3";"12,6";"732,4";"754,1";"794,7";"6,3";"6,6";"6,6";"5,3";"5,0";"5,0";"1,0";"0,0";"0,0";"6,7";"6,7";"6,6"
"08415061";"Reutlingen, Stadt";"Oberzentrum";"9";"6";"1";"1";"1";"0";"791";"7,00";"4";"83,0";"18,9";"19,2";"19,2";"529,2";"520,4";"521,5";"6,6";"6,7";"6,6";"5,3";"5,4";"5,1";"1,9";"1,9";"1,9";"5,9";"6,4";"6,9"
"08416041";"Tübingen, Universitätsstadt";"Oberzentrum";"7";"3";"1";"1";"1";"1";"1.996";"23,00";"5";"80,0";"24,6";"24,1";"23,6";"406,8";"414,8";"423,9";"6,7";"6,7";"6,5";"5,1";"4,9";"4,7";"1,3";"1,2";"1,2";"8,4";"8,3";"8,2"
"08421000";"Ulm, Universitätsstadt";"Oberzentrum";"11";"6";"2";"1";"1";"1";"1.974";"16,00";"5";"80,0";"24,8";"24,2";"24,0";"403,4";"413,2";"417,3";"7,2";"7,0";"6,8";"6,1";"6,1";"5,7";"2,4";"2,3";"2,4";"7,3";"7,8";"7,6"
"08435016";"Friedrichshafen, Stadt";"Oberzentrum";"5";"2";"1";"1";"1";"0";"452";"8,00";"4";"80,0";"21,3";"20,8";"20,6";"469,1";"480,7";"484,6";"6,1";"6,2";"6,3";"4,9";"5,0";"5,0";"2,2";"1,8";"1,8";"7,7";"7,5";"7,3"
"08436064";"Ravensburg, Stadt";"Oberzentrum";"8";"5";"1";"1";"1";"0";"1.032";"21,00";"4";"68,0";"29,7";"28,9";"28,4";"336,7";"345,5";"352,4";"7,4";"7,2";"6,9";"5,0";"4,6";"4,8";"2,2";"2,2";"1,8";"10,6";"10,6";"10,5"
"08436082";"Weingarten, Stadt";"Oberzentrum";"2";"0";"1";"1";"0";"0";"133";"5,00";"3";"88,0";"18,8";"18,5";"19,2";"531,7";"539,3";"521,1";"8,2";"7,7";"8,0";"5,7";"5,2";"5,2";"1,2";"1,2";"1,2";"9,9";"9,8";"9,8"
"09161000";"Ingolstadt";"Oberzentrum";"4";"2";"1";"1";"0";"0";"1.165";"9,00";"3";"81,0";"19,3";"19,2";"18,9";"519,4";"522,0";"528,3";"6,5";"6,2";"6,4";"4,0";"4,1";"4,0";"1,7";"1,8";"1,7";"6,1";"6,0";"5,9"
"09162000";"München, Landeshauptstadt";"Oberzentrum";"68";"35";"21";"6";"3";"3";"11.617";"8,00";"5";"96,0";"22,1";"21,8";"21,8";"453,2";"458,3";"458,6";"7,4";"7,2";"7,2";"3,8";"3,7";"3,7";"1,5";"1,5";"1,5";"6,3";"6,2";"6,2"
"09163000";"Rosenheim";"Oberzentrum";"5";"2";"1";"1";"1";"0";"652";"10,00";"4";"87,0";"30,1";"29,8";"29,8";"332,5";"335,1";"335,5";"7,9";"7,8";"7,6";"4,4";"4,3";"4,1";"2,9";"2,9";"3,0";"3,6";"3,6";"3,5"
"09171111";"Altötting, Stadt";"Oberzentrum";"5";"2";"1";"1";"1";"0";"423";"33,00";"4";"83,0";"31,4";"30,4";"27,9";"318,8";"328,4";"358,5";"8,6";"7,8";"7,0";"2,4";"2,3";"2,3";"5,5";"5,5";"5,4";"18,3";"18,3";"18,0"
"09171112";"Burghausen, Stadt";"Oberzentrum";"2";"2";"0";"0";"0";"0";"175";"9,00";"1";"86,0";"21,4";"21,2";"21,5";"468,2";"472,6";"465,6";"7,7";"7,6";"7,0";"1,6";"1,6";"1,6";"1,6";"1,6";"1,6";"13,0";"12,4";"12,1"
