Kennziffer;Raumeinheit;Aggregat;Baulandpreise;Veränderung Baulandpreise;Baulandumsatz
;;;2016/2017;2012/2013-2016/2017;2015/2016
08121;Heilbronn, Stadt;krsfr. Stadt;386,6;102,2;7,5
08125;Heilbronn;Landkreis;160,8;-9,1;48,1
08126;Hohenlohekreis;Landkreis;128,1;5,1;23,8
08127;Schwäbisch Hall;Landkreis;89,6;-7,5;33,6
08128;Main-Tauber-Kreis;Landkreis;64,4;-16,1;0,0
08135;Heidenheim;Landkreis;105,7;5,0;9,8
08136;Ostalbkreis;Landkreis;115,0;1,5;13,0
08211;Baden-Baden, Stadt;krsfr. Stadt;66,8;-137,5;9,7
08212;Karlsruhe, Stadt;krsfr. Stadt;455,7;0,0;2,0
08215;Karlsruhe;Landkreis;265,2;58,3;7,0
08216;Rastatt;Landkreis;221,1;39,6;3,9
08221;Heidelberg, Stadt;krsfr. Stadt;0,0;0,0;2,1
08222;Mannheim, Stadt;krsfr. Stadt;0,0;0,0;0,3
08225;Neckar-Odenwald-Kreis;Landkreis;72,6;-0,7;2,3
08226;Rhein-Neckar-Kreis;Landkreis;282,7;42,5;12,0
08231;Pforzheim, Stadt;Landkreis;258,5;53,1;13,7
08235;Calw;Landkreis;156,8;0,0;17,6
08236;Enzkreis;Landkreis;199,7;12,9;25,1
08237;Freudenstadt;Landkreis;98,4;14,4;9,1
08311;Freiburg im Breisgau, Stadt;krsfr. Stadt;436,5;46,5;10,0
08315;Breisgau-Hochschwarzwald;Landkreis;184,5;-20,0;13,6
08316;Emmendingen;Landkreis;232,3;72,2;13,9
08317;Ortenaukreis;Landkreis;153,8;31,6;14,8
08325;Rottweil;Landkreis;89,3;-6,0;16,6
08326;Schwarzwald-Baar-Kreis;Landkreis;100,9;0,0;8,7
08327;Tuttlingen;Landkreis;92,7;6,7;37,1
08335;Konstanz;Landkreis;130,5;-5,8;32,2
08336;Lörrach;Landkreis;215,5;12,5;6,1
08337;Waldshut;Landkreis;121,3;3,9;30,3
08415;Reutlingen;Landkreis;213,6;35,0;6,4
08416;Tübingen;Landkreis;195,3;0,1;38,1
08417;Zollernalbkreis;Landkreis;74,6;-1,0;18,0
08421;Ulm, Stadt;krsfr. Stadt;239,4;25,4;0,0
08425;Alb-Donau-Kreis;Landkreis;117,4;2,7;18,9
08426;Biberach;Landkreis;94,1;8,4;0,0
08435;Bodenseekreis;Landkreis;296,4;99,1;13,7
08436;Ravensburg;Landkreis;122,7;1,1;20,0
08437;Sigmaringen;Landkreis;61,6;5,7;20,7
09161;Ingolstadt, Stadt;krsfr. Stadt;551,6;276,1;55,6
09162;München, Stadt;krsfr. Stadt;2.428,7;972,5;38,7
09163;Rosenheim, Stadt;krsfr. Stadt;649,7;164,4;36,6
09171;Altötting;Landkreis;117,3;7,4;43,4
09172;Berchtesgadener Land;Landkreis;190,1;31,7;31,3
09173;Bad Tölz-Wolfratshausen;Landkreis;556,9;210,2;37,4
09174;Dachau;Landkreis;860,0;469,2;21,1
09175;Ebersberg;Landkreis;653,3;193,9;28,3
09176;Eichstätt;Landkreis;216,7;51,0;44,6
09177;Erding;Landkreis;343,6;165,9;69,4
09178;Freising;Landkreis;479,5;209,8;21,9
09179;Fürstenfeldbruck;Landkreis;727,6;337,2;26,2
09180;Garmisch-Partenkirchen;Landkreis;448,3;193,6;36,2
09181;Landsberg am Lech;Landkreis;300,5;123,3;27,8
09182;Miesbach;Landkreis;728,0;413,9;33,1
09183;Mühldorf a.Inn;Landkreis;129,3;36,0;38,5
09184;München;Landkreis;1.387,8;485,0;19,7
09185;Neuburg-Schrobenhausen;Landkreis;166,9;58,6;36,7
09186;Pfaffenhofen a.d.Ilm;Landkreis;283,5;100,6;32,9
09187;Rosenheim;Landkreis;410,1;152,9;21,5
09188;Starnberg;Landkreis;1.053,0;422,3;36,7
09189;Traunstein;Landkreis;249,6;86,6;27,0
09190;Weilheim-Schongau;Landkreis;232,5;51,5;43,7
09261;Landshut, Stadt;krsfr. Stadt;550,8;227,6;39,4
09262;Passau, Stadt;krsfr. Stadt;128,3;-7,9;53,9
09263;Straubing, Stadt;krsfr. Stadt;188,5;24,8;55,0
09271;Deggendorf;Landkreis;115,5;48,0;49,3
09272;Freyung-Grafenau;Landkreis;35,2;2,4;30,1
09273;Kelheim;Landkreis;147,4;36,6;46,8
09274;Landshut;Landkreis;145,9;26,9;45,7
09275;Passau;Landkreis;64,7;6,0;43,6
09276;Regen;Landkreis;54,0;-9,2;36,3
09277;Rottal-Inn;Landkreis;57,5;-1,2;43,5
09278;Straubing-Bogen;Landkreis;88,4;11,9;38,3
09279;Dingolfing-Landau;Landkreis;79,0;29,4;46,1
09361;Amberg, Stadt;krsfr. Stadt;130,2;6,5;26,1
09362;Regensburg, Stadt;krsfr. Stadt;832,6;436,3;23,0
09363;Weiden i.d.OPf., Stadt;krsfr. Stadt;128,5;-45,0;22,5
09371;Amberg-Sulzbach;Landkreis;78,9;13,3;25,9
09372;Cham;Landkreis;44,9;5,4;40,8
09373;Neumarkt i.d.OPf.;Landkreis;83,7;16,5;36,0
