Kennziffer;Raumeinheit;Aggregat;Zentralörtlicher Status;Zentralörtlicher Status (zusammengefasst);Zentralörtlicher Status (differenziert);Stadt-/Gemeindetyp;Raumtyp nach Lage;Bevölkerung;Fläche;Einwohnerdichte;Anteil Siedlungs- und Verkehrsfläche;Siedlungsdichte
"08437082";"Neufra";"Gemeinde";"0";"0";"0";"40";"3";"1.841";"28,00";"64,0";"6,0";"1.034,0"
"08437086";"Ostrach";"Gemeinde";"1";"3";"70";"40";"3";"6.756";"108,00";"62,0";"9,0";"666,0"
"08437088";"Pfullendorf, Stadt";"Gemeinde";"1";"2";"30";"30";"3";"13.287";"90,00";"146,0";"12,0";"1.129,0"
"08437100";"Bad Saulgau, Stadt";"Gemeinde";"1";"2";"30";"30";"3";"17.476";"97,00";"179,0";"13,0";"1.362,0"
"08437101";"Scheer, Stadt";"Gemeinde";"0";"0";"0";"40";"3";"2.475";"18,00";"132,0";"9,0";"1.359,0"
"08437102";"Schwenningen";"Gemeinde";"0";"0";"0";"50";"4";"1.637";"19,00";"84,0";"8,0";"1.029,0"
"08437104";"Sigmaringen, Stadt";"Gemeinde";"1";"2";"30";"30";"3";"17.073";"92,00";"183,0";"12,0";"1.479,0"
"08437105";"Sigmaringendorf";"Gemeinde";"0";"0";"0";"30";"3";"3.630";"12,00";"291,0";"19,0";"1.493,0"
"08437107";"Stetten am kalten Markt";"Gemeinde";"1";"3";"70";"50";"4";"4.784";"56,00";"84,0";"10,0";"798,0"
"08437114";"Veringenstadt, Stadt";"Gemeinde";"0";"0";"0";"40";"3";"2.144";"31,00";"68,0";"10,0";"636,0"
"08437118";"Wald";"Gemeinde";"0";"0";"0";"30";"3";"2.684";"43,00";"61,0";"7,0";"825,0"
"08437123";"Sauldorf";"Gemeinde";"0";"0";"0";"40";"3";"2.525";"49,00";"50,0";"8,0";"592,0"
"08437124";"Herdwangen-Schönach";"Gemeinde";"0";"0";"0";"30";"3";"3.415";"36,00";"93,0";"9,0";"1.028,0"
"09161000";"Ingolstadt";"Gemeinde";"1";"1";"10";"10";"2";"135.244";"133,00";"1.014,0";"37,0";"2.727,0"
"09162000";"München, Landeshauptstadt";"Gemeinde";"1";"1";"10";"10";"1";"1.456.039";"310,00";"4.686,0";"74,0";"6.263,0"
"09163000";"Rosenheim";"Gemeinde";"1";"1";"10";"20";"2";"63.080";"37,00";"1.694,0";"41,0";"4.067,0"
"09171111";"Altötting, Stadt";"Gemeinde";"1";"1";"11";"30";"3";"12.906";"23,00";"559,0";"27,0";"2.071,0"
"09171112";"Burghausen, Stadt";"Gemeinde";"1";"1";"11";"30";"3";"18.622";"19,00";"940,0";"48,0";"1.925,0"
"09171113";"Burgkirchen a.d.Alz";"Gemeinde";"1";"3";"50";"30";"3";"10.367";"46,00";"224,0";"15,0";"1.441,0"
"09171114";"Emmerting";"Gemeinde";"0";"0";"0";"50";"3";"4.143";"14,00";"294,0";"14,0";"2.061,0"
"09171115";"Erlbach";"Gemeinde";"0";"0";"0";"50";"3";"1.151";"28,00";"40,0";"7,0";"584,0"
"09171116";"Feichten a.d.Alz";"Gemeinde";"0";"0";"0";"50";"3";"1.164";"17,00";"64,0";"8,0";"808,0"
"09171117";"Garching a.d.Alz";"Gemeinde";"1";"3";"50";"40";"3";"8.578";"25,00";"331,0";"18,0";"1.798,0"
"09171118";"Haiming";"Gemeinde";"0";"0";"0";"50";"3";"2.476";"28,00";"86,0";"12,0";"715,0"
"09171119";"Halsbach";"Gemeinde";"0";"0";"0";"50";"3";"947";"22,00";"42,0";"6,0";"676,0"
"09171121";"Kastl";"Gemeinde";"0";"0";"0";"50";"3";"2.716";"27,00";"98,0";"11,0";"835,0"
"09171122";"Kirchweidach";"Gemeinde";"1";"3";"50";"50";"3";"2.537";"20,00";"125,0";"11,0";"1.088,0"
"09171123";"Marktl, Markt";"Gemeinde";"1";"3";"50";"50";"3";"2.716";"27,00";"97,0";"10,0";"956,0"
"09171124";"Mehring";"Gemeinde";"0";"0";"0";"50";"3";"2.488";"23,00";"106,0";"8,0";"1.184,0"
"09171125";"Neuötting, Stadt";"Gemeinde";"1";"1";"11";"40";"3";"8.803";"36,00";"240,0";"14,0";"1.639,0"
"09171126";"Perach";"Gemeinde";"0";"0";"0";"50";"3";"1.253";"14,00";"88,0";"10,0";"840,0"
"09171127";"Pleiskirchen";"Gemeinde";"0";"0";"0";"50";"3";"2.463";"52,00";"46,0";"7,0";"625,0"
"09171129";"Reischach";"Gemeinde";"1";"3";"50";"50";"3";"2.595";"28,00";"91,0";"8,0";"1.094,0"
"09171130";"Stammham";"Gemeinde";"0";"0";"0";"50";"3";"1.005";"5,00";"176,0";"16,0";"1.069,0"
"09171131";"Teising";"Gemeinde";"0";"0";"0";"50";"3";"1.894";"5,00";"352,0";"19,0";"1.770,0"
"09171132";"Töging a.Inn, Stadt";"Gemeinde";"1";"3";"50";"40";"3";"9.289";"13,00";"680,0";"32,0";"2.120,0"
"09171133";"Tüßling, Markt";"Gemeinde";"1";"3";"50";"50";"3";"3.279";"19,00";"167,0";"13,0";"1.275,0"
"09171134";"Tyrlaching";"Gemeinde";"0";"0";"0";"50";"3";"972";"20,00";"47,0";"6,0";"679,0"
"09171135";"Unterneukirchen";"Gemeinde";"0";"0";"0";"50";"3";"3.171";"23,00";"136,0";"12,0";"1.074,0"
"09171137";"Winhöring";"Gemeinde";"1";"3";"50";"50";"3";"4.803";"24,00";"195,0";"15,0";"1.222,0"
"09172111";"Ainring";"Gemeinde";"1";"3";"50";"40";"2";"9.758";"32,00";"296,0";"15,0";"1.858,0"
"09172112";"Anger";"Gemeinde";"0";"0";"0";"50";"3";"4.533";"45,00";"98,0";"6,0";"1.412,0"
"09172114";"Bad Reichenhall, GKSt";"Gemeinde";"1";"1";"11";"30";"3";"17.951";"41,00";"428,0";"15,0";"2.796,0"
"09172115";"Bayerisch Gmain";"Gemeinde";"0";"0";"0";"50";"3";"3.059";"12,00";"248,0";"12,0";"1.911,0"
"09172116";"Berchtesgaden, Markt";"Gemeinde";"1";"2";"30";"40";"3";"7.791";"35,00";"218,0";"12,0";"1.716,0"
"09172117";"Bischofswiesen";"Gemeinde";"1";"3";"50";"40";"3";"7.376";"62,00";"118,0";"7,0";"1.593,0"
"09172118";"Freilassing, Stadt";"Gemeinde";"1";"1";"11";"30";"2";"16.787";"14,00";"1.133,0";"36,0";"3.091,0"
"09172122";"Laufen, Stadt";"Gemeinde";"1";"2";"31";"40";"3";"7.169";"35,00";"203,0";"13,0";"1.541,0"
"09172124";"Marktschellenberg, Markt";"Gemeinde";"0";"0";"0";"50";"3";"1.799";"17,00";"101,0";"7,0";"1.439,0"
"09172128";"Piding";"Gemeinde";"1";"3";"50";"40";"2";"5.451";"17,00";"308,0";"13,0";"2.252,0"
"09172129";"Ramsau b.Berchtesgaden";"Gemeinde";"0";"0";"0";"50";"4";"1.701";"129,00";"13,0";"1,0";"854,0"
"09172130";"Saaldorf-Surheim";"Gemeinde";"0";"0";"0";"40";"3";"5.491";"39,00";"140,0";"11,0";"1.233,0"
"09172131";"Schneizlreuth";"Gemeinde";"0";"0";"0";"50";"3";"1.313";"107,00";"12,0";"2,0";"452,0"
"09172132";"Schönau a.Königssee";"Gemeinde";"1";"3";"50";"40";"3";"5.534";"131,00";"42,0";"2,0";"1.599,0"
"09172134";"Teisendorf, Markt";"Gemeinde";"1";"3";"50";"40";"3";"9.339";"86,00";"107,0";"9,0";"1.138,0"
"09172444";"Gdefr. Geb. (Lkr Berchtesgadener Land)";"Gemeinde";"0";"0";"0";"50";"3";"0";"29,00";"0,0";"1,0";"0,0"
"09173111";"Bad Heilbrunn";"Gemeinde";"0";"0";"0";"50";"3";"3.987";"40,00";"98,0";"6,0";"1.569,0"
"09173112";"Bad Tölz, Stadt";"Gemeinde";"1";"2";"30";"30";"3";"18.647";"30,00";"605,0";"20,0";"3.007,0"
"09173113";"Benediktbeuern";"Gemeinde";"1";"3";"51";"50";"3";"3.621";"37,00";"95,0";"5,0";"1.895,0"
"09173115";"Bichl";"Gemeinde";"1";"3";"51";"50";"3";"2.242";"13,00";"161,0";"9,0";"1.685,0"
"09173118";"Dietramszell";"Gemeinde";"1";"3";"50";"40";"2";"5.454";"96,00";"56,0";"6,0";"872,0"
"09173120";"Egling";"Gemeinde";"1";"3";"50";"40";"2";"5.483";"74,00";"74,0";"8,0";"881,0"
"09173123";"Eurasburg";"Gemeinde";"0";"0";"0";"50";"2";"4.290";"40,00";"104,0";"9,0";"1.080,0"
"09173124";"Gaißach";"Gemeinde";"0";"0";"0";"50";"3";"3.177";"38,00";"82,0";"5,0";"1.424,0"
"09173126";"Geretsried, Stadt";"Gemeinde";"1";"2";"31";"20";"2";"24.892";"24,00";"1.011,0";"28,0";"3.602,0"
"09173127";"Greiling";"Gemeinde";"0";"0";"0";"50";"2";"1.469";"7,00";"191,0";"11,0";"1.688,0"
"09173130";"Icking";"Gemeinde";"0";"0";"0";"50";"2";"3.722";"17,00";"218,0";"20,0";"1.054,0"
"09173131";"Jachenau";"Gemeinde";"0";"0";"0";"50";"4";"858";"128,00";"6,0";"1,0";"379,0"
"09173133";"Kochel a.See";"Gemeinde";"1";"3";"50";"50";"3";"4.112";"80,00";"51,0";"4,0";"1.174,0"
"09173134";"Königsdorf";"Gemeinde";"0";"0";"0";"50";"2";"3.089";"45,00";"67,0";"7,0";"900,0"
"09173135";"Lenggries";"Gemeinde";"1";"2";"30";"30";"3";"10.001";"242,00";"41,0";"3,0";"1.340,0"
"09173137";"Münsing";"Gemeinde";"0";"0";"0";"50";"2";"4.315";"52,00";"82,0";"10,0";"765,0"
"09173140";"Reichersbeuern";"Gemeinde";"0";"0";"0";"50";"2";"2.503";"15,00";"162,0";"11,0";"1.406,0"
"09173141";"Sachsenkam";"Gemeinde";"0";"0";"0";"50";"2";"1.313";"15,00";"82,0";"6,0";"1.262,0"
"09173142";"Schlehdorf";"Gemeinde";"0";"0";"0";"50";"3";"1.225";"25,00";"48,0";"4,0";"1.084,0"
"09173145";"Wackersberg";"Gemeinde";"0";"0";"0";"50";"3";"3.506";"64,00";"54,0";"5,0";"976,0"
"09173147";"Wolfratshausen, Stadt";"Gemeinde";"1";"2";"31";"30";"2";"18.666";"9,00";"2.044,0";"54,0";"3.778,0"
"09173444";"Gdefr. Geb. (Lkr Bad Tölz-Wolfratshausen)";"Gemeinde";"0";"0";"0";"50";"2";"0";"8,00";"0,0";"1,0";"0,0"
"09174111";"Altomünster, Markt";"Gemeinde";"1";"3";"50";"40";"2";"7.970";"75,00";"105,0";"9,0";"1.156,0"
"09174113";"Bergkirchen";"Gemeinde";"0";"0";"0";"40";"1";"7.780";"59,00";"129,0";"15,0";"860,0"
"09174115";"Dachau, GKSt";"Gemeinde";"1";"2";"30";"20";"1";"47.255";"34,00";"1.351,0";"38,0";"3.505,0"
"09174118";"Erdweg";"Gemeinde";"1";"3";"50";"40";"2";"5.954";"36,00";"165,0";"10,0";"1.507,0"
"09174121";"Haimhausen";"Gemeinde";"1";"3";"50";"40";"1";"5.579";"26,00";"207,0";"10,0";"1.930,0"
"09174122";"Hebertshausen";"Gemeinde";"0";"0";"0";"40";"1";"5.662";"29,00";"191,0";"12,0";"1.559,0"
"09174126";"Karlsfeld";"Gemeinde";"1";"3";"50";"20";"1";"21.141";"15,00";"1.354,0";"34,0";"3.893,0"
"09174131";"Markt Indersdorf, Markt";"Gemeinde";"1";"3";"50";"30";"2";"10.243";"68,00";"149,0";"10,0";"1.369,0"
"09174135";"Odelzhausen";"Gemeinde";"1";"3";"50";"40";"1";"5.092";"30,00";"167,0";"14,0";"1.129,0"
"09174136";"Petershausen";"Gemeinde";"1";"3";"50";"40";"2";"6.549";"32,00";"199,0";"10,0";"1.855,0"
"09174137";"Pfaffenhofen a.d.Glonn";"Gemeinde";"0";"0";"0";"50";"1";"2.118";"20,00";"101,0";"10,0";"1.013,0"
"09174141";"Röhrmoos";"Gemeinde";"0";"0";"0";"40";"2";"6.487";"31,00";"204,0";"10,0";"1.869,0"
"09174143";"Schwabhausen";"Gemeinde";"0";"0";"0";"40";"2";"6.466";"30,00";"213,0";"10,0";"2.014,0"
"09174146";"Sulzemoos";"Gemeinde";"0";"0";"0";"50";"1";"2.922";"19,00";"153,0";"13,0";"1.115,0"
"09174147";"Hilgertshausen-Tandern";"Gemeinde";"0";"0";"0";"50";"2";"3.404";"28,00";"118,0";"10,0";"1.127,0"
"09174150";"Vierkirchen";"Gemeinde";"0";"0";"0";"50";"2";"4.559";"19,00";"235,0";"13,0";"1.726,0"
"09174151";"Weichs";"Gemeinde";"0";"0";"0";"50";"2";"3.522";"18,00";"187,0";"10,0";"1.778,0"
"09175111";"Anzing";"Gemeinde";"0";"0";"0";"50";"1";"4.389";"16,00";"271,0";"16,0";"1.637,0"
"09175112";"Aßling";"Gemeinde";"1";"3";"50";"50";"2";"4.532";"31,00";"144,0";"10,0";"1.403,0"
"09175113";"Baiern";"Gemeinde";"0";"0";"0";"40";"2";"1.449";"19,00";"72,0";"7,0";"940,0"
"09175114";"Bruck";"Gemeinde";"0";"0";"0";"40";"2";"1.276";"21,00";"59,0";"7,0";"817,0"
"09175115";"Ebersberg, Stadt";"Gemeinde";"1";"2";"31";"30";"2";"12.171";"40,00";"298,0";"14,0";"2.069,0"
"09175116";"Egmating";"Gemeinde";"0";"0";"0";"40";"2";"2.287";"19,00";"119,0";"11,0";"1.073,0"
"09175118";"Forstinning";"Gemeinde";"0";"0";"0";"50";"1";"3.743";"12,00";"305,0";"20,0";"1.515,0"
"09175119";"Frauenneuharting";"Gemeinde";"0";"0";"0";"50";"2";"1.534";"22,00";"67,0";"6,0";"1.002,0"
"09175121";"Glonn, Markt";"Gemeinde";"1";"3";"50";"40";"2";"5.214";"30,00";"172,0";"9,0";"1.743,0"
"09175122";"Grafing b.München, Stadt";"Gemeinde";"1";"2";"31";"30";"2";"13.603";"29,00";"460,0";"19,0";"2.378,0"
"09175123";"Hohenlinden";"Gemeinde";"0";"0";"0";"50";"2";"3.179";"17,00";"183,0";"13,0";"1.358,0"
"09175124";"Kirchseeon, Markt";"Gemeinde";"1";"3";"50";"30";"2";"10.544";"17,00";"588,0";"21,0";"2.731,0"
"09175127";"Markt Schwaben, Markt";"Gemeinde";"1";"2";"30";"30";"1";"13.512";"10,00";"1.243,0";"29,0";"4.249,0"
"09175128";"Moosach";"Gemeinde";"0";"0";"0";"40";"2";"1.536";"18,00";"84,0";"7,0";"1.105,0"
"09175131";"Oberpframmern";"Gemeinde";"0";"0";"0";"40";"2";"2.419";"18,00";"130,0";"8,0";"1.550,0"
"09175132";"Vaterstetten";"Gemeinde";"1";"3";"51";"20";"1";"23.229";"34,00";"681,0";"26,0";"2.547,0"
"09175133";"Pliening";"Gemeinde";"0";"0";"0";"40";"1";"5.524";"22,00";"242,0";"12,0";"1.878,0"
"09175135";"Poing";"Gemeinde";"1";"3";"50";"30";"1";"15.652";"12,00";"1.211,0";"36,0";"3.351,0"
"09175136";"Emmering";"Gemeinde";"0";"0";"0";"50";"2";"1.537";"17,00";"89,0";"7,0";"1.138,0"
"09175137";"Steinhöring";"Gemeinde";"0";"0";"0";"50";"2";"4.096";"36,00";"112,0";"12,0";"871,0"
"09175139";"Zorneding";"Gemeinde";"1";"3";"50";"40";"1";"9.374";"23,00";"394,0";"14,0";"2.725,0"
"09175444";"Gdefr. Geb. (Lkr Ebersberg)";"Gemeinde";"0";"0";"0";"50";"2";"0";"75,00";"0,0";"3,0";"0,0"
"09176111";"Adelschlag";"Gemeinde";"0";"0";"0";"50";"3";"3.001";"51,00";"57,0";"7,0";"777,0"
"09176112";"Altmannstein, Markt";"Gemeinde";"1";"3";"50";"40";"3";"6.995";"114,00";"61,0";"7,0";"829,0"
"09176114";"Beilngries, Stadt";"Gemeinde";"1";"2";"30";"40";"3";"9.700";"100,00";"96,0";"10,0";"890,0"
"09176116";"Böhmfeld";"Gemeinde";"0";"0";"0";"50";"3";"1.633";"16,00";"100,0";"7,0";"1.275,0"
"09176118";"Buxheim";"Gemeinde";"0";"0";"0";"50";"3";"3.696";"22,00";"164,0";"11,0";"1.368,0"
"09176120";"Denkendorf";"Gemeinde";"1";"3";"50";"50";"2";"4.898";"47,00";"102,0";"12,0";"847,0"
"09176121";"Dollnstein, Markt";"Gemeinde";"1";"3";"50";"50";"4";"2.863";"40,00";"70,0";"7,0";"889,0"
"09176122";"Egweil";"Gemeinde";"0";"0";"0";"50";"3";"1.191";"9,00";"126,0";"11,0";"1.123,0"
"09176123";"Eichstätt, GKSt";"Gemeinde";"1";"2";"30";"30";"3";"13.512";"47,00";"282,0";"19,0";"1.481,0"
"09176124";"Eitensheim";"Gemeinde";"0";"0";"0";"50";"3";"3.014";"15,00";"191,0";"13,0";"1.401,0"
"09176126";"Gaimersheim, Markt";"Gemeinde";"1";"3";"50";"30";"2";"12.150";"28,00";"430,0";"21,0";"2.038,0"
"09176129";"Großmehring";"Gemeinde";"1";"3";"51";"40";"2";"7.011";"47,00";"147,0";"14,0";"1.028,0"
"09176131";"Hepberg";"Gemeinde";"0";"0";"0";"50";"2";"2.890";"4,00";"694,0";"30,0";"2.293,0"
"09176132";"Hitzhofen";"Gemeinde";"0";"0";"0";"50";"3";"2.912";"33,00";"86,0";"7,0";"1.133,0"
"09176137";"Kinding, Markt";"Gemeinde";"0";"0";"0";"50";"2";"2.589";"51,00";"50,0";"11,0";"419,0"
"09176138";"Kipfenberg, Markt";"Gemeinde";"1";"3";"50";"40";"3";"5.797";"81,00";"71,0";"7,0";"905,0"
"09176139";"Kösching, Markt";"Gemeinde";"1";"3";"51";"40";"2";"9.658";"55,00";"173,0";"11,0";"1.525,0"
"09176143";"Lenting";"Gemeinde";"1";"3";"50";"50";"2";"4.906";"8,00";"578,0";"30,0";"1.872,0"
"09176147";"Mindelstetten";"Gemeinde";"0";"0";"0";"50";"3";"1.706";"22,00";"75,0";"9,0";"832,0"
"09176148";"Mörnsheim, Markt";"Gemeinde";"0";"0";"0";"50";"4";"1.525";"33,00";"45,0";"12,0";"356,0"
"09176149";"Nassenfels, Markt";"Gemeinde";"1";"3";"50";"50";"3";"2.205";"18,00";"119,0";"10,0";"1.179,0"
"09176150";"Oberdolling";"Gemeinde";"0";"0";"0";"50";"3";"1.314";"19,00";"67,0";"8,0";"796,0"
"09176153";"Pförring, Markt";"Gemeinde";"1";"3";"51";"50";"3";"3.746";"43,00";"86,0";"9,0";"887,0"
"09176155";"Pollenfeld";"Gemeinde";"0";"0";"0";"50";"3";"2.903";"45,00";"63,0";"8,0";"788,0"
"09176160";"Schernfeld";"Gemeinde";"0";"0";"0";"50";"3";"3.216";"52,00";"61,0";"12,0";"501,0"
"09176161";"Stammham";"Gemeinde";"0";"0";"0";"50";"2";"4.022";"39,00";"103,0";"9,0";"1.111,0"
"09176164";"Titting, Markt";"Gemeinde";"1";"3";"50";"50";"3";"2.636";"71,00";"37,0";"11,0";"309,0"
"09176165";"Walting";"Gemeinde";"0";"0";"0";"50";"3";"2.350";"39,00";"59,0";"7,0";"760,0"
"09176166";"Wellheim, Markt";"Gemeinde";"0";"0";"0";"50";"3";"2.721";"33,00";"80,0";"8,0";"961,0"
"09176167";"Wettstetten";"Gemeinde";"0";"0";"0";"50";"2";"4.886";"12,00";"391,0";"17,0";"2.191,0"
"09176444";"Gdefr. Geb. (Lkr Eichstätt)";"Gemeinde";"0";"0";"0";"50";"3";"0";"5,00";"0,0";"6,0";"0,0"
"09177112";"Berglern";"Gemeinde";"0";"0";"0";"40";"2";"2.898";"19,00";"145,0";"11,0";"1.323,0"
"09177113";"Bockhorn";"Gemeinde";"0";"0";"0";"50";"2";"3.938";"47,00";"83,0";"10,0";"793,0"
"09177114";"Buch a.Buchrain";"Gemeinde";"0";"0";"0";"50";"1";"1.535";"22,00";"67,0";"6,0";"1.065,0"
"09177115";"Dorfen, Stadt";"Gemeinde";"1";"2";"31";"30";"3";"14.664";"99,00";"147,0";"10,0";"1.401,0"
"09177116";"Eitting";"Gemeinde";"0";"0";"0";"40";"2";"2.822";"35,00";"79,0";"11,0";"696,0"
"09177117";"Erding, GKSt";"Gemeinde";"1";"1";"10";"20";"2";"36.382";"54,00";"666,0";"28,0";"2.311,0"
"09177118";"Finsing";"Gemeinde";"0";"0";"0";"50";"1";"4.682";"23,00";"201,0";"15,0";"1.315,0"
"09177119";"Forstern";"Gemeinde";"0";"0";"0";"50";"2";"3.709";"15,00";"241,0";"14,0";"1.648,0"
"09177120";"Fraunberg";"Gemeinde";"0";"0";"0";"50";"2";"3.599";"42,00";"84,0";"9,0";"932,0"
"09177121";"Hohenpolding";"Gemeinde";"0";"0";"0";"50";"3";"1.579";"27,00";"57,0";"9,0";"636,0"
"09177122";"Inning a.Holz";"Gemeinde";"0";"0";"0";"50";"3";"1.492";"11,00";"126,0";"11,0";"1.130,0"
"09177123";"Isen, Markt";"Gemeinde";"1";"3";"50";"40";"2";"5.881";"43,00";"134,0";"9,0";"1.406,0"
"09177124";"Kirchberg";"Gemeinde";"0";"0";"0";"50";"3";"988";"17,00";"57,0";"8,0";"715,0"
"09177126";"Langenpreising";"Gemeinde";"0";"0";"0";"40";"2";"2.806";"27,00";"102,0";"10,0";"991,0"
"09177127";"Lengdorf";"Gemeinde";"0";"0";"0";"50";"2";"2.749";"33,00";"80,0";"9,0";"895,0"
"09177130";"Moosinning";"Gemeinde";"1";"3";"50";"40";"2";"5.808";"39,00";"145,0";"14,0";"981,0"
"09177131";"Neuching";"Gemeinde";"0";"0";"0";"50";"2";"2.623";"19,00";"133,0";"12,0";"1.040,0"
"09177133";"Oberding";"Gemeinde";"0";"0";"0";"40";"2";"6.325";"64,00";"97,0";"21,0";"448,0"
"09177134";"Ottenhofen";"Gemeinde";"0";"0";"0";"50";"2";"1.949";"10,00";"189,0";"14,0";"1.282,0"
"09177135";"Pastetten";"Gemeinde";"0";"0";"0";"50";"1";"2.669";"22,00";"120,0";"12,0";"995,0"
"09177137";"Sankt Wolfgang";"Gemeinde";"1";"3";"50";"50";"3";"4.463";"46,00";"96,0";"8,0";"1.110,0"
"09177138";"Steinkirchen";"Gemeinde";"0";"0";"0";"50";"3";"1.282";"18,00";"70,0";"8,0";"837,0"
"09177139";"Taufkirchen (Vils)";"Gemeinde";"1";"2";"31";"30";"3";"10.100";"70,00";"143,0";"11,0";"1.308,0"
"09177142";"Walpertskirchen";"Gemeinde";"0";"0";"0";"50";"2";"2.131";"18,00";"115,0";"9,0";"1.170,0"
"09177143";"Wartenberg, Markt";"Gemeinde";"1";"3";"50";"40";"2";"5.396";"17,00";"301,0";"15,0";"1.927,0"
"09177144";"Wörth";"Gemeinde";"0";"0";"0";"50";"2";"4.414";"21,00";"209,0";"13,0";"1.511,0"
"09178113";"Allershausen";"Gemeinde";"1";"3";"50";"40";"1";"5.734";"26,00";"215,0";"14,0";"1.447,0"
"09178115";"Attenkirchen";"Gemeinde";"0";"0";"0";"50";"2";"2.729";"16,00";"169,0";"12,0";"1.324,0"
"09178116";"Au i.d.Hallertau, Markt";"Gemeinde";"1";"3";"50";"40";"2";"5.986";"54,00";"108,0";"10,0";"1.001,0"
"09178120";"Eching";"Gemeinde";"1";"2";"31";"30";"1";"13.856";"37,00";"371,0";"22,0";"1.675,0"
"09178122";"Rudelzhausen";"Gemeinde";"0";"0";"0";"50";"2";"3.371";"40,00";"82,0";"11,0";"705,0"
"09178123";"Fahrenzhausen";"Gemeinde";"1";"3";"50";"50";"1";"4.976";"37,00";"132,0";"10,0";"1.207,0"
"09178124";"Freising, GKSt";"Gemeinde";"1";"1";"10";"20";"1";"48.318";"88,00";"545,0";"24,0";"2.195,0"
"09178125";"Gammelsdorf";"Gemeinde";"0";"0";"0";"50";"2";"1.487";"21,00";"68,0";"14,0";"463,0"
"09178129";"Haag a.d.Amper";"Gemeinde";"0";"0";"0";"50";"2";"2.935";"21,00";"135,0";"11,0";"1.164,0"
"09178130";"Hallbergmoos";"Gemeinde";"1";"3";"50";"30";"1";"10.946";"35,00";"311,0";"25,0";"1.214,0"
"09178132";"Hörgertshausen";"Gemeinde";"0";"0";"0";"50";"2";"1.977";"21,00";"92,0";"11,0";"816,0"
"09178133";"Hohenkammer";"Gemeinde";"0";"0";"0";"50";"2";"2.635";"25,00";"102,0";"10,0";"1.001,0"
"09178136";"Kirchdorf a.d.Amper";"Gemeinde";"0";"0";"0";"50";"2";"3.186";"32,00";"96,0";"8,0";"1.106,0"
"09178137";"Kranzberg";"Gemeinde";"0";"0";"0";"50";"2";"4.153";"39,00";"105,0";"10,0";"1.046,0"
"09178138";"Langenbach";"Gemeinde";"0";"0";"0";"50";"2";"4.027";"26,00";"149,0";"11,0";"1.329,0"
"09178140";"Marzling";"Gemeinde";"0";"0";"0";"50";"2";"3.231";"20,00";"157,0";"11,0";"1.363,0"
"09178142";"Mauern";"Gemeinde";"0";"0";"0";"50";"2";"3.003";"24,00";"124,0";"9,0";"1.251,0"
"09178143";"Moosburg a.d.Isar, Stadt";"Gemeinde";"1";"2";"30";"30";"2";"18.487";"43,00";"421,0";"20,0";"2.063,0"
"09178144";"Nandlstadt, Markt";"Gemeinde";"1";"3";"50";"40";"3";"5.280";"34,00";"153,0";"9,0";"1.571,0"
"09178145";"Neufahrn b.Freising";"Gemeinde";"1";"2";"31";"20";"1";"20.096";"45,00";"441,0";"17,0";"2.474,0"
"09178150";"Paunzhausen";"Gemeinde";"0";"0";"0";"40";"1";"1.499";"12,00";"117,0";"10,0";"1.094,0"
"09178155";"Wang";"Gemeinde";"0";"0";"0";"50";"2";"2.581";"31,00";"82,0";"9,0";"843,0"
"09178156";"Wolfersdorf";"Gemeinde";"0";"0";"0";"50";"2";"2.576";"26,00";"98,0";"8,0";"1.187,0"
"09178157";"Zolling";"Gemeinde";"1";"3";"50";"50";"2";"4.928";"34,00";"142,0";"13,0";"1.066,0"
"09179111";"Adelshofen";"Gemeinde";"0";"0";"0";"50";"2";"1.683";"13,00";"126,0";"9,0";"1.357,0"
"09179113";"Alling";"Gemeinde";"0";"0";"0";"50";"1";"3.902";"21,00";"185,0";"11,0";"1.660,0"
"09179114";"Althegnenberg";"Gemeinde";"0";"0";"0";"50";"2";"2.002";"16,00";"124,0";"8,0";"1.494,0"
"09179117";"Egenhofen";"Gemeinde";"0";"0";"0";"50";"2";"3.409";"33,00";"102,0";"9,0";"1.055,0"
"09179118";"Eichenau";"Gemeinde";"1";"3";"51";"30";"1";"11.907";"6,00";"1.703,0";"42,0";"4.009,0"
"09179119";"Emmering";"Gemeinde";"0";"0";"0";"40";"1";"6.688";"10,00";"610,0";"24,0";"2.449,0"
"09179121";"Fürstenfeldbruck, GKSt";"Gemeinde";"1";"2";"30";"20";"1";"37.202";"32,00";"1.143,0";"37,0";"3.051,0"
"09179123";"Germering, GKSt";"Gemeinde";"1";"2";"30";"20";"1";"40.285";"21,00";"1.865,0";"36,0";"5.131,0"
"09179125";"Grafrath";"Gemeinde";"0";"0";"0";"50";"2";"3.801";"14,00";"263,0";"14,0";"1.801,0"
"09179126";"Gröbenzell";"Gemeinde";"1";"3";"50";"30";"1";"19.835";"6,00";"3.118,0";"77,0";"4.047,0"
"09179128";"Hattenhofen";"Gemeinde";"0";"0";"0";"50";"2";"1.520";"7,00";"211,0";"15,0";"1.345,0"
"09179130";"Jesenwang";"Gemeinde";"0";"0";"0";"50";"2";"1.559";"15,00";"101,0";"11,0";"885,0"
"09179131";"Kottgeisering";"Gemeinde";"0";"0";"0";"50";"2";"1.561";"8,00";"190,0";"12,0";"1.500,0"
"09179132";"Landsberied";"Gemeinde";"0";"0";"0";"50";"2";"1.558";"10,00";"147,0";"16,0";"916,0"
