Kennziffer;Raumeinheit;Aggregat;Zentralörtlicher Status;Zentralörtlicher Status (zusammengefasst);Zentralörtlicher Status (differenziert);Stadt-/Gemeindetyp;Raumtyp nach Lage;Bevölkerung;Fläche;Einwohnerdichte;Anteil Siedlungs- und Verkehrsfläche;Siedlungsdichte
"12069680";"Wollin";"Gemeinde";"0";"0";"0";"50";"3";"841";"28,00";"30,0";"6,0";"433,0"
"12069688";"Wusterwitz";"Gemeinde";"0";"0";"0";"50";"4";"3.048";"23,00";"128,0";"12,0";"1.033,0"
"12069696";"Ziesar, Stadt";"Gemeinde";"0";"0";"0";"50";"3";"2.442";"67,00";"35,0";"8,0";"444,0"
"12070008";"Bad Wilsnack, Stadt";"Gemeinde";"0";"0";"0";"50";"4";"2.576";"79,00";"32,0";"6,0";"492,0"
"12070028";"Berge";"Gemeinde";"0";"0";"0";"50";"4";"750";"26,00";"28,0";"6,0";"423,0"
"12070052";"Breese";"Gemeinde";"0";"0";"0";"50";"4";"1.492";"23,00";"62,0";"8,0";"713,0"
"12070060";"Cumlosen";"Gemeinde";"0";"0";"0";"50";"4";"716";"22,00";"32,0";"6,0";"487,0"
"12070096";"Gerdshagen";"Gemeinde";"0";"0";"0";"50";"4";"493";"23,00";"21,0";"9,0";"217,0"
"12070125";"Groß Pankow (Prignitz)";"Gemeinde";"0";"0";"0";"50";"4";"3.875";"250,00";"15,0";"5,0";"269,0"
"12070145";"Gülitz-Reetz";"Gemeinde";"0";"0";"0";"50";"4";"461";"24,00";"18,0";"6,0";"284,0"
"12070149";"Gumtow";"Gemeinde";"0";"0";"0";"50";"4";"3.370";"213,00";"15,0";"5,0";"286,0"
"12070153";"Halenbeck-Rohlsdorf";"Gemeinde";"0";"0";"0";"50";"4";"508";"39,00";"12,0";"5,0";"220,0"
"12070173";"Karstädt";"Gemeinde";"0";"0";"0";"40";"4";"5.989";"253,00";"23,0";"6,0";"342,0"
"12070222";"Kümmernitztal";"Gemeinde";"0";"0";"0";"50";"4";"373";"20,00";"18,0";"6,0";"278,0"
"12070236";"Lanz";"Gemeinde";"0";"0";"0";"50";"4";"741";"60,00";"12,0";"4,0";"259,0"
"12070241";"Legde/Quitzöbel";"Gemeinde";"0";"0";"0";"50";"4";"604";"41,00";"14,0";"5,0";"279,0"
"12070244";"Lenzen (Elbe), Stadt";"Gemeinde";"0";"0";"0";"50";"4";"2.136";"96,00";"22,0";"5,0";"406,0"
"12070246";"Lenzerwische";"Gemeinde";"0";"0";"0";"50";"4";"447";"42,00";"10,0";"4,0";"226,0"
"12070266";"Marienfließ";"Gemeinde";"0";"0";"0";"50";"4";"707";"77,00";"9,0";"6,0";"145,0"
"12070280";"Meyenburg, Stadt";"Gemeinde";"0";"0";"0";"50";"4";"2.104";"50,00";"41,0";"7,0";"576,0"
"12070296";"Perleberg, Stadt";"Gemeinde";"1";"2";"31";"30";"4";"12.317";"138,00";"88,0";"12,0";"691,0"
"12070300";"Pirow";"Gemeinde";"0";"0";"0";"50";"4";"436";"37,00";"11,0";"4,0";"269,0"
"12070302";"Plattenburg";"Gemeinde";"0";"0";"0";"50";"4";"3.325";"202,00";"16,0";"5,0";"286,0"
"12070316";"Pritzwalk, Stadt";"Gemeinde";"1";"2";"31";"30";"4";"12.009";"167,00";"71,0";"10,0";"671,0"
"12070325";"Putlitz, Stadt";"Gemeinde";"0";"0";"0";"50";"4";"2.707";"119,00";"22,0";"6,0";"365,0"
"12070348";"Rühstädt";"Gemeinde";"0";"0";"0";"50";"4";"470";"28,00";"16,0";"4,0";"340,0"
"12070393";"Triglitz";"Gemeinde";"0";"0";"0";"50";"4";"502";"31,00";"15,0";"5,0";"265,0"
"12070416";"Weisen";"Gemeinde";"0";"0";"0";"50";"4";"954";"15,00";"61,0";"11,0";"538,0"
"12070424";"Wittenberge, Stadt";"Gemeinde";"1";"2";"31";"30";"4";"17.201";"50,00";"339,0";"21,0";"1.558,0"
"12071028";"Briesen";"Gemeinde";"0";"0";"0";"50";"4";"763";"9,00";"83,0";"9,0";"847,0"
"12071032";"Burg (Spreewald)";"Gemeinde";"0";"0";"0";"50";"4";"4.276";"35,00";"121,0";"14,0";"840,0"
"12071041";"Dissen-Striesow";"Gemeinde";"0";"0";"0";"50";"4";"984";"19,00";"49,0";"7,0";"618,0"
"12071044";"Döbern, Stadt";"Gemeinde";"0";"0";"0";"50";"4";"3.250";"15,00";"205,0";"20,0";"1.009,0"
"12071052";"Drachhausen";"Gemeinde";"0";"0";"0";"50";"4";"800";"38,00";"20,0";"4,0";"479,0"
"12071057";"Drebkau, Stadt";"Gemeinde";"0";"0";"0";"40";"3";"5.580";"143,00";"38,0";"29,0";"132,0"
"12071060";"Drehnow";"Gemeinde";"0";"0";"0";"50";"4";"521";"10,00";"47,0";"7,0";"676,0"
"12071074";"Felixsee";"Gemeinde";"0";"0";"0";"50";"4";"1.898";"35,00";"53,0";"8,0";"656,0"
"12071076";"Forst (Lausitz), Stadt";"Gemeinde";"1";"2";"30";"30";"4";"18.353";"110,00";"165,0";"55,0";"300,0"
"12071153";"Groß Schacksdorf-Simmersdorf";"Gemeinde";"0";"0";"0";"50";"4";"1.025";"25,00";"40,0";"8,0";"495,0"
"12071160";"Guben, Stadt";"Gemeinde";"1";"2";"30";"30";"4";"17.174";"43,00";"390,0";"30,0";"1.294,0"
"12071164";"Guhrow";"Gemeinde";"0";"0";"0";"50";"4";"521";"6,00";"77,0";"12,0";"612,0"
"12071176";"Heinersbrück";"Gemeinde";"0";"0";"0";"50";"4";"573";"23,00";"23,0";"118,0";"20,0"
"12071189";"Jämlitz-Klein Düben";"Gemeinde";"0";"0";"0";"50";"4";"468";"28,00";"16,0";"4,0";"383,0"
