Kennziffer;Raumeinheit;Aggregat;Hochschulen;Studierende Hochschulen;Studierende an Hochschulen je 1000 Einwohner;Studierende an Fachhoschulen je 1000 Einwohner;Allgemeinbildende Schulen;Schüler an allgemeinbildenden Schulen;Schüler an allgemeinbildenden Schulen je 1000 Einwohner;Grundschulen;Schüler an Grundschulen;Schüler an Grundschulen je 1000 Einwohner;Weiterführende Schulen;Schüler an weiterführenden Schulen;Schüler in weiterführenden Schulen je 1000 Einwohner;Berufsbildende Schulen;Schüler an berufsbildenden Schulen;Schüler an berufsbildenden Schulen je 1000 Einwohner;Bibliotheken;Öffentliche Bibliotheken;Wissenschaftliche Bibliotheken;Spezialbibliotheken;Bibliotheksentleihungen;Kinos;Kinosäle;Kinositzplätze
"09180117";"Garmisch-Partenkirchen, Markt";"Oberzentrum";"0";"0";"0,00";"0,00";"11";"3.569";"132";"4,0";"744";"27,0";"6";"2.741";"101,0";"10,0";"1.571";"58";"4,0";"4";"0";"0";"103.866";"0";"0";"0"
"09183128";"Mühldorf a.Inn, Stadt";"Oberzentrum";"1";"273";"13,57";"13,00";"4";"1.902";"94";"2,0";"602";"29,0";"2";"1.300";"64,0";"8,0";"3.327";"165";"3,0";"3";"0";"0";"204.352";"1";"4";"932"
"09183148";"Waldkraiburg, Stadt";"Oberzentrum";"0";"0";"0,00";"0,00";"9";"3.722";"158";"4,0";"785";"33,0";"4";"2.649";"113,0";"0,0";"0";"0";"1,0";"1";"0";"0";"122.232";"1";"8";"1.060"
"09189155";"Traunstein, GKSt";"Oberzentrum";"0";"0";"0,00";"0,00";"9";"4.612";"228";"2,0";"632";"31,0";"5";"3.606";"178,0";"17,0";"5.941";"295";"2,0";"2";"0";"0";"131.194";"1";"3";"748"
"09190157";"Weilheim i.OB, Stadt";"Oberzentrum";"0";"0";"0,00";"0,00";"7";"3.569";"159";"2,0";"672";"30,0";"4";"2.737";"122,0";"8,0";"2.686";"120";"1,0";"1";"0";"0";"162.231";"2";"6";"729"
"09261000";"Landshut";"Oberzentrum";"1";"4.926";"69,19";"69,00";"19";"8.280";"116";"8,0";"2.274";"31,0";"8";"5.520";"77,0";"28,0";"8.368";"118";"5,0";"3";"1";"1";"809.227";"2";"12";"1.649"
"09262000";"Passau";"Oberzentrum";"1";"12.742";"246,07";"0,00";"20";"5.560";"107";"8,0";"1.263";"24,0";"8";"3.567";"68,0";"21,0";"6.855";"132";"8,0";"6";"2";"0";"474.989";"3";"12";"2.053"
"09263000";"Straubing";"Oberzentrum";"2";"495";"10,40";"5,00";"21";"7.266";"152";"6,0";"1.389";"29,0";"10";"5.055";"106,0";"18,0";"5.173";"109";"3,0";"2";"0";"1";"333.768";"1";"7";"1.079"
"09271119";"Deggendorf, GKSt";"Oberzentrum";"2";"6.427";"192,58";"192,00";"12";"3.805";"114";"5,0";"919";"27,0";"5";"2.634";"78,0";"12,0";"4.423";"133";"4,0";"3";"1";"0";"289.899";"1";"5";"736"
"09271146";"Plattling, Stadt";"Oberzentrum";"0";"0";"0,00";"0,00";"3";"1.330";"102";"1,0";"415";"32,0";"2";"915";"70,0";"8,0";"929";"72";"1,0";"1";"0";"0";"59.610";"1";"6";"1.084"
"09279112";"Dingolfing, Stadt";"Oberzentrum";"0";"0";"0,00";"0,00";"7";"3.007";"154";"3,0";"613";"31,0";"3";"2.266";"116,0";"1,0";"2.457";"126";"1,0";"1";"0";"0";"88.903";"1";"4";"454"
"09361000";"Amberg";"Oberzentrum";"1";"1.661";"39,32";"39,00";"17";"6.250";"147";"5,0";"1.254";"29,0";"9";"4.506";"106,0";"12,0";"2.974";"70";"6,0";"4";"2";"0";"299.132";"3";"12";"1.754"
"09362000";"Regensburg";"Oberzentrum";"3";"32.212";"213,47";"75,00";"51";"16.904";"112";"20,0";"4.533";"30,0";"22";"11.207";"74,0";"40,0";"13.303";"88";"10,0";"5";"3";"2";"2.504.837";"6";"16";"2.720"
"09363000";"Weiden i.d.OPf.";"Oberzentrum";"1";"1.435";"33,73";"33,00";"16";"5.823";"136";"8,0";"1.317";"30,0";"7";"4.384";"103,0";"12,0";"5.068";"119";"1,0";"1";"0";"0";"449.425";"3";"7";"1.193"
"09372116";"Cham, Stadt";"Oberzentrum";"0";"0";"0,00";"0,00";"11";"3.943";"234";"4,0";"513";"30,0";"5";"3.202";"190,0";"6,0";"3.064";"182";"1,0";"1";"0";"0";"167.769";"1";"9";"996"
"09373147";"Neumarkt i.d.OPf., GKSt";"Oberzentrum";"0";"0";"0,00";"0,00";"16";"6.464";"162";"8,0";"1.296";"32,0";"6";"4.933";"123,0";"12,0";"3.700";"93";"3,0";"3";"0";"0";"305.971";"2";"8";"1.128"
"09377158";"Waldsassen, Stadt";"Oberzentrum";"0";"0";"0,00";"0,00";"4";"1.025";"151";"1,0";"200";"29,0";"3";"825";"122,0";"0,0";"0";"0";"1,0";"1";"0";"0";"32.134";"0";"0";"0"
"09461000";"Bamberg";"Oberzentrum";"2";"12.984";"168,23";"4,00";"33";"10.704";"138";"13,0";"2.144";"27,0";"15";"7.931";"102,0";"36,0";"7.281";"94";"9,0";"5";"2";"2";"1.342.263";"3";"11";"1.946"
"09462000";"Bayreuth";"Oberzentrum";"2";"12.990";"175,54";"0,00";"26";"9.447";"127";"10,0";"1.930";"26,0";"10";"6.647";"89,0";"29,0";"5.852";"79";"5,0";"3";"1";"1";"834.341";"1";"8";"1.258"
"09463000";"Coburg";"Oberzentrum";"2";"5.357";"129,91";"129,00";"19";"6.367";"154";"8,0";"1.225";"29,0";"8";"4.475";"108,0";"22,0";"4.486";"109";"6,0";"4";"2";"0";"235.953";"1";"9";"1.351"
