Kennziffer;Raumeinheit;Aggregat;ÖV-Haltestellen;Bahnhaltestellen;Bushaltestellen;U-/Strassenbahnhaltestellen;ÖV-Abfahrten;Bahn-Abfahrten;Bus-Abfahrten;U-/Straßenbahn-Abfahrten;Erreichbarkeit von IC/EC/ICE-Bahnhöfen ;Erreichbarkeit Autobahnen;Erreichbarkeit Flughäfen;Erreichbarkeit KV-Terminal;Erreichbarkeit von Mittelzentren;Erreichbarkeit von Oberzentren
"09479136";"Marktredwitz, GKSt";"Oberzentrum";"47";"1";"47";"0";"1.102";"105";"997";"0";"77,7";"3,2";"100,9";"19,9";"0,0";"0,0"
"09479152";"Selb, GKSt";"Oberzentrum";"64";"4";"64";"0";"1.371";"149";"1.222";"0";"80,6";"3,8";"106,9";"27,8";"0,0";"0,0"
"09479169";"Wunsiedel, Stadt";"Oberzentrum";"28";"1";"28";"0";"947";"36";"911";"0";"71,7";"8,0";"93,3";"28,3";"0,0";"0,0"
"09561000";"Ansbach";"Oberzentrum";"133";"1";"133";"0";"7.744";"118";"7.626";"0";"0,0";"6,3";"52,3";"50,6";"0,0";"0,0"
"09562000";"Erlangen";"Oberzentrum";"177";"4";"177";"0";"38.068";"428";"37.640";"0";"0,0";"1,9";"17,4";"29,7";"0,0";"0,0"
"09563000";"Fürth";"Oberzentrum";"172";"8";"171";"6";"33.077";"821";"30.119";"2.137";"13,8";"5,4";"16,4";"22,4";"0,0";"0,0"
"09564000";"Nürnberg";"Oberzentrum";"528";"23";"476";"112";"150.269";"2.918";"99.927";"47.424";"0,0";"6,0";"12,6";"14,3";"0,0";"0,0"
"09565000";"Schwabach";"Oberzentrum";"86";"2";"86";"0";"5.528";"279";"5.249";"0";"20,0";"3,4";"29,4";"17,1";"0,0";"0,0"
"09661000";"Aschaffenburg";"Oberzentrum";"163";"4";"163";"0";"18.822";"309";"18.513";"0";"0,0";"3,9";"31,5";"7,8";"0,0";"0,0"
"09662000";"Schweinfurt";"Oberzentrum";"134";"3";"134";"0";"13.781";"381";"13.400";"0";"29,9";"3,7";"74,4";"5,4";"0,0";"0,0"
"09663000";"Würzburg";"Oberzentrum";"255";"3";"252";"43";"45.345";"450";"32.007";"12.888";"0,0";"5,7";"67,6";"35,3";"0,0";"0,0"
"09672114";"Bad Kissingen, GKSt";"Oberzentrum";"102";"1";"102";"0";"3.294";"47";"3.247";"0";"41,1";"10,5";"86,4";"29,2";"0,0";"0,0"
"09673114";"Bad Neustadt a.d.Saale, Stadt";"Oberzentrum";"44";"1";"44";"0";"1.407";"47";"1.360";"0";"48,1";"8,0";"72,5";"39,1";"0,0";"0,0"
"09761000";"Augsburg";"Oberzentrum";"275";"7";"244";"87";"72.158";"1.721";"37.474";"32.963";"1,8";"10,4";"56,6";"7,8";"0,0";"0,0"
"09762000";"Kaufbeuren";"Oberzentrum";"90";"1";"90";"0";"5.523";"137";"5.386";"0";"16,7";"14,8";"71,8";"69,0";"0,0";"0,0"
"09763000";"Kempten (Allgäu)";"Oberzentrum";"194";"3";"194";"0";"13.629";"224";"13.405";"0";"2,7";"3,1";"76,4";"86,0";"0,0";"0,0"
"09764000";"Memmingen";"Oberzentrum";"83";"1";"83";"0";"3.339";"141";"3.198";"0";"3,0";"2,6";"59,5";"61,6";"0,0";"0,0"
"09773125";"Dillingen a.d.Donau, GKSt";"Oberzentrum";"53";"1";"53";"0";"1.643";"39";"1.604";"0";"25,1";"26,2";"85,1";"48,1";"0,0";"0,0"
"09773144";"Lauingen (Donau), Stadt";"Oberzentrum";"33";"1";"33";"0";"534";"39";"495";"0";"19,1";"20,1";"79,1";"49,7";"0,0";"0,0"
"09774135";"Günzburg, GKSt";"Oberzentrum";"55";"2";"55";"0";"1.386";"164";"1.222";"0";"0,0";"4,6";"60,0";"28,1";"0,0";"0,0"
"09774155";"Leipheim, Stadt";"Oberzentrum";"8";"1";"8";"0";"246";"80";"166";"0";"4,4";"1,1";"55,6";"23,3";"0,0";"0,0"
"09775135";"Neu-Ulm, GKSt";"Oberzentrum";"112";"3";"112";"0";"12.978";"265";"12.713";"0";"3,9";"10,0";"55,8";"16,1";"0,0";"0,0"
"09776116";"Lindau (Bodensee), GKSt";"Oberzentrum";"57";"2";"57";"0";"669";"149";"520";"0";"0,0";"2,8";"21,8";"69,7";"0,0";"0,0"
"09779131";"Donauwörth, GKSt";"Oberzentrum";"61";"2";"61";"0";"2.994";"219";"2.775";"0";"5,8";"35,0";"83,8";"44,4";"0,0";"0,0"
"09779194";"Nördlingen, GKSt";"Oberzentrum";"59";"1";"59";"0";"835";"42";"793";"0";"33,9";"23,2";"94,6";"70,0";"0,0";"0,0"
"09780124";"Immenstadt i.Allgäu, Stadt";"Oberzentrum";"73";"1";"73";"0";"1.714";"120";"1.594";"0";"0,0";"13,2";"66,1";"106,5";"0,0";"0,0"
"09780139";"Sonthofen, Stadt";"Oberzentrum";"37";"2";"37";"0";"1.110";"113";"997";"0";"8,5";"17,4";"74,6";"111,4";"0,0";"0,0"
"10041100";"Saarbrücken, Landeshauptstadt";"Oberzentrum";"378";"8";"373";"18";"56.658";"769";"51.355";"4.534";"1,6";"1,6";"12,3";"34,3";"0,0";"0,0"
"11000000";"Berlin, Stadt";"Oberzentrum";"2.691";"133";"2.558";"490";"954.510";"72.554";"666.826";"215.130";"0,0";"7,1";"15,1";"11,9";"0,0";"0,0"
"12051000";"Brandenburg an der Havel, Stadt";"Oberzentrum";"166";"4";"161";"39";"17.447";"195";"10.781";"6.471";"0,0";"13,4";"57,0";"48,9";"0,0";"0,0"
"12052000";"Cottbus, Stadt";"Oberzentrum";"207";"4";"205";"38";"20.476";"323";"13.876";"6.277";"0,0";"9,9";"66,8";"60,5";"0,0";"0,0"
"12053000";"Frankfurt (Oder), Stadt";"Oberzentrum";"132";"4";"125";"35";"15.227";"220";"9.533";"5.474";"0,0";"6,0";"49,1";"5,5";"0,0";"0,0"
"12054000";"Potsdam, Stadt";"Oberzentrum";"249";"10";"237";"62";"54.531";"1.493";"34.444";"18.594";"0,0";"10,0";"28,9";"25,3";"0,0";"0,0"
"13003000";"Rostock, Hansestadt";"Oberzentrum";"224";"14";"210";"60";"46.318";"2.077";"23.208";"21.033";"0,0";"6,2";"70,9";"13,9";"0,0";"0,0"
"13004000";"Schwerin, Landeshauptstadt";"Oberzentrum";"151";"7";"144";"34";"19.570";"465";"12.330";"6.775";"0,0";"12,4";"51,7";"36,3";"0,0";"0,0"
"13071107";"Neubrandenburg, Stadt";"Oberzentrum";"111";"1";"111";"0";"7.731";"72";"7.659";"0";"25,7";"12,8";"100,7";"115,1";"0,0";"0,0"
"13073088";"Stralsund, Hansestadt";"Oberzentrum";"89";"3";"89";"0";"9.948";"132";"9.816";"0";"0,0";"19,8";"119,4";"46,0";"0,0";"0,0"
